"id","bldgtype","bldgtype_id"
433,"Townhouse End Unit",5
368,"Single-family Detached",4
437,"Single-family Detached",4
989,"Single-family Detached",4
1336,"Single-family Detached",4
479,"Single-family Detached",4
762,"Single-family Detached",4
455,"Duplex",2
911,"Duplex",2
858,"Single-family Detached",4
869,"Single-family Detached",4
211,"Single-family Detached",4
891,"Single-family Detached",4
881,"Single-family Detached",4
1347,"Single-family Detached",4
288,"Single-family Detached",4
1012,"Duplex",2
235,"Single-family Detached",4
360,"Single-family Detached",4
75,"Single-family Detached",4
412,"Two-family Conversion; originally built as one-family dwelling",3
1401,"Single-family Detached",4
1459,"Single-family Detached",4
589,"Single-family Detached",4
854,"Single-family Detached",4
570,"Duplex",2
57,"Townhouse Inside Unit",1
401,"Townhouse End Unit",5
65,"Single-family Detached",4
1123,"Single-family Detached",4
603,"Single-family Detached",4
921,"Single-family Detached",4
784,"Single-family Detached",4
248,"Single-family Detached",4
897,"Single-family Detached",4
271,"Single-family Detached",4
866,"Single-family Detached",4
67,"Single-family Detached",4
747,"Single-family Detached",4
629,"Single-family Detached",4
811,"Single-family Detached",4
606,"Single-family Detached",4
164,"Single-family Detached",4
447,"Single-family Detached",4
1198,"Single-family Detached",4
1250,"Single-family Detached",4
397,"Single-family Detached",4
108,"Single-family Detached",4
1227,"Single-family Detached",4
565,"Single-family Detached",4
793,"Single-family Detached",4
1385,"Single-family Detached",4
913,"Single-family Detached",4
1442,"Townhouse End Unit",5
1275,"Single-family Detached",4
1409,"Single-family Detached",4
887,"Duplex",2
486,"Single-family Detached",4
1370,"Single-family Detached",4
1121,"Single-family Detached",4
1073,"Single-family Detached",4
220,"Townhouse End Unit",5
1211,"Single-family Detached",4
1416,"Townhouse End Unit",5
1087,"Townhouse End Unit",5
873,"Single-family Detached",4
1036,"Single-family Detached",4
201,"Single-family Detached",4
420,"Single-family Detached",4
63,"Townhouse End Unit",5
1125,"Single-family Detached",4
1022,"Single-family Detached",4
892,"Single-family Detached",4
1077,"Single-family Detached",4
945,"Single-family Detached",4
758,"Single-family Detached",4
18,"Duplex",2
1210,"Single-family Detached",4
1344,"Single-family Detached",4
851,"Townhouse End Unit",5
580,"Single-family Detached",4
1153,"Single-family Detached",4
1108,"Single-family Detached",4
242,"Single-family Detached",4
200,"Single-family Detached",4
968,"Single-family Detached",4
516,"Single-family Detached",4
1231,"Duplex",2
553,"Single-family Detached",4
449,"Single-family Detached",4
842,"Single-family Detached",4
514,"Single-family Detached",4
434,"Single-family Detached",4
581,"Single-family Detached",4
958,"Single-family Detached",4
29,"Single-family Detached",4
107,"Single-family Detached",4
905,"Single-family Detached",4
573,"Single-family Detached",4
965,"Single-family Detached",4
1025,"Single-family Detached",4
400,"Single-family Detached",4
373,"Townhouse End Unit",5
1441,"Single-family Detached",4
474,"Single-family Detached",4
338,"Single-family Detached",4
807,"Single-family Detached",4
232,"Single-family Detached",4
948,"Single-family Detached",4
396,"Single-family Detached",4
1197,"Single-family Detached",4
280,"Single-family Detached",4
1147,"Single-family Detached",4
1348,"Single-family Detached",4
1300,"Single-family Detached",4
351,"Townhouse End Unit",5
558,"Single-family Detached",4
1183,"Single-family Detached",4
642,"Single-family Detached",4
394,"Single-family Detached",4
1422,"Townhouse End Unit",5
741,"Single-family Detached",4
534,"Single-family Detached",4
1460,"Single-family Detached",4
490,"Townhouse Inside Unit",1
450,"Single-family Detached",4
191,"Single-family Detached",4
501,"Townhouse Inside Unit",1
359,"Single-family Detached",4
117,"Single-family Detached",4
1307,"Townhouse End Unit",5
952,"Single-family Detached",4
538,"Single-family Detached",4
1304,"Single-family Detached",4
1061,"Townhouse End Unit",5
731,"Townhouse End Unit",5
238,"Single-family Detached",4
465,"Single-family Detached",4
1412,"Single-family Detached",4
575,"Single-family Detached",4
701,"Single-family Detached",4
463,"Single-family Detached",4
545,"Single-family Detached",4
612,"Single-family Detached",4
1340,"Single-family Detached",4
1146,"Single-family Detached",4
720,"Single-family Detached",4
277,"Single-family Detached",4
199,"Single-family Detached",4
500,"Single-family Detached",4
674,"Single-family Detached",4
1139,"Single-family Detached",4
416,"Single-family Detached",4
882,"Single-family Detached",4
1045,"Single-family Detached",4
1038,"Single-family Detached",4
1454,"Single-family Detached",4
1354,"Single-family Detached",4
324,"Single-family Detached",4
91,"Single-family Detached",4
970,"Two-family Conversion; originally built as one-family dwelling",3
812,"Townhouse End Unit",5
431,"Townhouse Inside Unit",1
1044,"Single-family Detached",4
1192,"Townhouse Inside Unit",1
990,"Single-family Detached",4
766,"Single-family Detached",4
1196,"Single-family Detached",4
79,"Duplex",2
346,"Single-family Detached",4
1088,"Single-family Detached",4
1055,"Single-family Detached",4
951,"Single-family Detached",4
649,"Single-family Detached",4
196,"Townhouse Inside Unit",1
260,"Single-family Detached",4
696,"Single-family Detached",4
1158,"Townhouse Inside Unit",1
1295,"Single-family Detached",4
684,"Single-family Detached",4
561,"Single-family Detached",4
697,"Single-family Detached",4
1362,"Single-family Detached",4
1229,"Townhouse End Unit",5
328,"Single-family Detached",4
134,"Single-family Detached",4
943,"Duplex",2
787,"Single-family Detached",4
840,"Single-family Detached",4
493,"Single-family Detached",4
64,"Single-family Detached",4
780,"Duplex",2
749,"Single-family Detached",4
269,"Single-family Detached",4
266,"Single-family Detached",4
93,"Single-family Detached",4
647,"Single-family Detached",4
800,"Single-family Detached",4
1265,"Townhouse End Unit",5
509,"Single-family Detached",4
539,"Single-family Detached",4
116,"Townhouse End Unit",5
567,"Single-family Detached",4
544,"Townhouse End Unit",5
1143,"Single-family Detached",4
475,"Townhouse End Unit",5
718,"Single-family Detached",4
1402,"Single-family Detached",4
149,"Single-family Detached",4
99,"Single-family Detached",4
264,"Single-family Detached",4
1287,"Single-family Detached",4
1273,"Single-family Detached",4
1374,"Single-family Detached",4
1220,"Townhouse Inside Unit",1
1355,"Single-family Detached",4
1326,"Single-family Detached",4
729,"Duplex",2
456,"Single-family Detached",4
1244,"Single-family Detached",4
71,"Single-family Detached",4
419,"Single-family Detached",4
223,"Single-family Detached",4
121,"Single-family Detached",4
35,"Townhouse End Unit",5
83,"Single-family Detached",4
908,"Single-family Detached",4
192,"Single-family Detached",4
956,"Duplex",2
1319,"Single-family Detached",4
47,"Single-family Detached",4
1436,"Single-family Detached",4
559,"Single-family Detached",4
167,"Single-family Detached",4
1357,"Single-family Detached",4
736,"Single-family Detached",4
759,"Townhouse Inside Unit",1
1380,"Single-family Detached",4
241,"Single-family Detached",4
1014,"Single-family Detached",4
299,"Single-family Detached",4
130,"Single-family Detached",4
472,"Single-family Detached",4
517,"Single-family Detached",4
353,"Single-family Detached",4
237,"Single-family Detached",4
1312,"Single-family Detached",4
906,"Single-family Detached",4
1042,"Single-family Detached",4
1003,"Single-family Detached",4
143,"Single-family Detached",4
114,"Single-family Detached",4
1247,"Single-family Detached",4
988,"Single-family Detached",4
316,"Single-family Detached",4
1334,"Single-family Detached",4
1050,"Single-family Detached",4
864,"Single-family Detached",4
1060,"Single-family Detached",4
424,"Single-family Detached",4
1236,"Single-family Detached",4
270,"Single-family Detached",4
1364,"Single-family Detached",4
1324,"Single-family Detached",4
1013,"Single-family Detached",4
641,"Townhouse End Unit",5
320,"Single-family Detached",4
799,"Single-family Detached",4
922,"Duplex",2
141,"Single-family Detached",4
131,"Single-family Detached",4
314,"Single-family Detached",4
1432,"Townhouse End Unit",5
751,"Single-family Detached",4
1181,"Single-family Detached",4
1015,"Single-family Detached",4
611,"Single-family Detached",4
160,"Single-family Detached",4
230,"Townhouse End Unit",5
1222,"Single-family Detached",4
231,"Single-family Detached",4
610,"Single-family Detached",4
1452,"Single-family Detached",4
1251,"Single-family Detached",4
798,"Single-family Detached",4
1018,"Townhouse End Unit",5
886,"Townhouse End Unit",5
515,"Single-family Detached",4
593,"Single-family Detached",4
421,"Duplex",2
1384,"Single-family Detached",4
549,"Single-family Detached",4
719,"Single-family Detached",4
23,"Single-family Detached",4
406,"Single-family Detached",4
1396,"Single-family Detached",4
1150,"Single-family Detached",4
703,"Single-family Detached",4
94,"Two-family Conversion; originally built as one-family dwelling",3
408,"Single-family Detached",4
646,"Single-family Detached",4
1204,"Single-family Detached",4
1145,"Two-family Conversion; originally built as one-family dwelling",3
221,"Single-family Detached",4
476,"Single-family Detached",4
961,"Single-family Detached",4
1321,"Single-family Detached",4
1274,"Single-family Detached",4
1161,"Townhouse Inside Unit",1
966,"Single-family Detached",4
1098,"Townhouse End Unit",5
1327,"Single-family Detached",4
1103,"Single-family Detached",4
435,"Townhouse Inside Unit",1
1279,"Single-family Detached",4
941,"Duplex",2
103,"Duplex",2
378,"Single-family Detached",4
120,"Single-family Detached",4
835,"Single-family Detached",4
843,"Single-family Detached",4
914,"Duplex",2
985,"Duplex",2
453,"Single-family Detached",4
1043,"Townhouse Inside Unit",1
971,"Single-family Detached",4
957,"Townhouse End Unit",5
875,"Single-family Detached",4
80,"Single-family Detached",4
1184,"Single-family Detached",4
796,"Single-family Detached",4
1172,"Single-family Detached",4
1039,"Townhouse Inside Unit",1
601,"Single-family Detached",4
754,"Single-family Detached",4
987,"Single-family Detached",4
249,"Single-family Detached",4
1425,"Single-family Detached",4
212,"Single-family Detached",4
1082,"Single-family Detached",4
410,"Single-family Detached",4
182,"Single-family Detached",4
1267,"Two-family Conversion; originally built as one-family dwelling",3
839,"Single-family Detached",4
15,"Single-family Detached",4
528,"Single-family Detached",4
591,"Single-family Detached",4
959,"Single-family Detached",4
1159,"Single-family Detached",4
77,"Single-family Detached",4
997,"Single-family Detached",4
508,"Single-family Detached",4
810,"Single-family Detached",4
723,"Single-family Detached",4
706,"Two-family Conversion; originally built as one-family dwelling",3
1379,"Townhouse Inside Unit",1
734,"Single-family Detached",4
206,"Single-family Detached",4
722,"Townhouse End Unit",5
24,"Townhouse End Unit",5
1136,"Single-family Detached",4
1316,"Single-family Detached",4
88,"Townhouse End Unit",5
934,"Single-family Detached",4
1152,"Single-family Detached",4
862,"Two-family Conversion; originally built as one-family dwelling",3
458,"Single-family Detached",4
557,"Single-family Detached",4
330,"Single-family Detached",4
704,"Two-family Conversion; originally built as one-family dwelling",3
345,"Townhouse End Unit",5
938,"Single-family Detached",4
411,"Single-family Detached",4
1115,"Single-family Detached",4
805,"Single-family Detached",4
366,"Single-family Detached",4
334,"Townhouse End Unit",5
1167,"Single-family Detached",4
693,"Single-family Detached",4
1188,"Single-family Detached",4
1029,"Single-family Detached",4
379,"Single-family Detached",4
1221,"Single-family Detached",4
785,"Single-family Detached",4
1207,"Single-family Detached",4
1142,"Single-family Detached",4
930,"Single-family Detached",4
292,"Two-family Conversion; originally built as one-family dwelling",3
87,"Single-family Detached",4
834,"Single-family Detached",4
621,"Single-family Detached",4
448,"Single-family Detached",4
552,"Single-family Detached",4
197,"Single-family Detached",4
664,"Single-family Detached",4
584,"Single-family Detached",4
60,"Single-family Detached",4
1272,"Single-family Detached",4
1225,"Single-family Detached",4
139,"Single-family Detached",4
4,"Single-family Detached",4
1325,"Single-family Detached",4
1358,"Single-family Detached",4
1047,"Single-family Detached",4
877,"Single-family Detached",4
797,"Single-family Detached",4
748,"Single-family Detached",4
202,"Single-family Detached",4
1449,"Single-family Detached",4
623,"Single-family Detached",4
481,"Single-family Detached",4
1377,"Single-family Detached",4
42,"Single-family Detached",4
860,"Single-family Detached",4
535,"Single-family Detached",4
417,"Single-family Detached",4
25,"Single-family Detached",4
404,"Single-family Detached",4
1284,"Duplex",2
929,"Single-family Detached",4
208,"Single-family Detached",4
900,"Single-family Detached",4
389,"Single-family Detached",4
924,"Townhouse End Unit",5
1446,"Single-family Detached",4
556,"Single-family Detached",4
380,"Single-family Detached",4
178,"Single-family Detached",4
1232,"Duplex",2
1104,"Single-family Detached",4
1230,"Single-family Detached",4
492,"Single-family Detached",4
1286,"Single-family Detached",4
1097,"Single-family Detached",4
1170,"Single-family Detached",4
832,"Townhouse End Unit",5
607,"Single-family Detached",4
1329,"Single-family Detached",4
885,"Single-family Detached",4
705,"Single-family Detached",4
363,"Single-family Detached",4
457,"Single-family Detached",4
833,"Single-family Detached",4
283,"Townhouse Inside Unit",1
923,"Single-family Detached",4
392,"Single-family Detached",4
261,"Single-family Detached",4
